,1.2만,4년 전,와 개좋네        
@joanazaxe1917,46,4년 전,                                      
@user-yx3qw2mi7i,10,4년 전,이 형 만큼은 별 사고 없이 쭉 오래 음악해줬으면 좋겠다
@Majormockery151,4,3년 전,                                                                                                                      
@user-in6cf1wo5x,11,4년 전,멜로디 존나 잘짰네          개좋음
@heeeeeeeeejo,6,4년 전,이거 진짜 라이브 듣고싶습니다 이번앨범 다 명곡    콘서트 열어주세여 요한최고
@user-rt4gn8lx7z,1,4년 전,훅부분에 넌 네게서 나를 지워가고 또 나를 부셔버려 다 이부분 부셔버려 라 로 들리는거 왤케 좋냐   
@user-ei6nj5fy8p,4,4년 전,한요한 노래 너무좋고 이번앨범 버릴것도 없고 진짜 최고야 사랑해
@user-zv7fc2vw9e,231,4년 전,에버렌드에서 범퍼카 타면서 이 노래를 들었더니 람보르기니를 추월했습니다
@Taehoash2000,29,3년 전,첨에 노래제목 보고 뭔 제목이      야      근데  들어오자마자 이 꽂히는 멜로디       한요한이란사람 이름만알고있었는데 이젠 팬이될것같다    네 레알 다른 띵곡도 알려주시면 감사하겠습니다 개인적으로 애쉬아일랜드 패러노이드랑 한요한       같은 웅장하면서 신나는거 넘나좋아해요   
@___star-vs3eu,0,4년 전,진짜 몇번째 계속 돌려보는중   뮤비에 빨려들어간다 
@jooheonsdimples,43,4년 전,                                                                                                                                                                           
@user-po1zl8nw7p,2,4년 전,진짜 괜히 들었어    게속 이노래 생각나서 하루에 몇번 듣는지 모르겠다
@user-tw8cq4fb1n,8,4년 전(수정됨),키드밀리 보고싶었어  가사 너무 듣고싶었어   다시 와줘서 고마웡
@koolthegang6988,2,3년 전(수정됨),첫인트로 부분부터 샤우팅                    중간 중저음도 매력쪄네요   한국에도 이런 멋진노래가 있다니           샤우팅 창법도 심금을 흔들리게 하는 마력이 있네요  응원할게요   참고로 저는   대입니다  
@user-pf1yr4vc9r,3,11개월 전,진짜 개좋아 맨날 듣는다
@AU-qq4uv,5,4년 전,                                                                                                           
@platinumpixie1,2,3년 전(수정됨),                                                                            
@wooxxx8630,2,3년 전(수정됨),요한이형 나 이 노래 들으면 울어 예전에 내가 좋아하던 애가 전화해서 이 노래 불렀었는데    한요한 노래잖아  하면서 그만 부르라고 했었거든 근데 요즘 걔 생각날때마다 맨날 들으면서 울어 사랑해 형
@Yeonnie47,14,4년 전,                                                                                                                                                                   
@UnchainedM3L0dy,8,4년 전,                                     
@isfpenfp5587,1,6개월 전,한요한은 진짜 보면 볼수록 좋음
@cll581,17,4년 전,                                        
@Lylly_Bett,12,4년 전,                                     
@ZoMichael-a,2,3년 전,                                                                                                                                                                                                                                                                                                                                                                                                    
@user-rs7xq5ib3q,0,3년 전,배달 하면서 매일 이노래듣는데 너무 좋더라
@user-xg5up4of7b,27,4년 전(수정됨),     킫밀리
@3rachasupremacy53,5,3년 전,                           
@mltitude,1,4년 전,                                                         
@editorchlxyo9802,1,4년 전,한요한 진짜로 갈수록 멋있고 자기만의 색깔 확실하네
@leeeee2465,4,2년 전,이 음악 들으면서 운전하면 급발진쌉가 
@mariam-eq6mi,19,4년 전(수정됨),                    
@user-cw7db8px9p,2,4년 전,한요한 인스타만 염탐하다가 노래 첨들었을때 겁나 놀람 생각보다 잘해섴         
@user-ys2xw9nq1j,2,3년 전,한요한 특유의 음색  너무조음진짜
@user-qe7oc3cp4c,7,3년 전,이게 벌써  년이라니 시간 참빠르다
